run,gain_factor
108,1.09
109,1.07
110,1.07
112,1.12
113,1.15
114,1.13
115,1.1
116,1.12
117,1.17
118,1.13
119,1.02
120,1.07
121,1.05
122,1.02
123,1.03
124,1.03
125,1.02
126,1.06
173,1.06
181,1.08
182,1.07
183,1.08
184,1.07
185,1.08
207,1.04
208,1.05
209,1.05
210,1.04
211,1.05
231,0.94
249,1.04
250,1.07
251,1.04
252,1.05
253,1.02
255,1.03
256,1.05
259,1.02
260,1.01
261,1.04
262,1.05
263,1.03
264,1.06
265,1.04
266,1.04
267,1.02
268,1.04
269,1.06
270,1.03
271,1.06
272,1.07
273,1.11
274,1.1
275,1.07
276,1.07
277,1.06
278,1.08
279,1.05
280,1.02
281,1.02
286,1.07
287,1.07
288,1.06
289,1.06
290,1.11
291,1.18
292,1.22
293,1.2
294,1.19
295,1.2
296,1.24
297,1.24
298,1.22
299,1.2
300,1.23
301,1.26
302,1.25
303,1.22
304,1.2
305,1.18
306,1.19
307,1.2
308,1.25
309,1.24
310,1.26
311,1.29
312,1.24
313,1.25
314,1.25
315,1.24
316,1.2
317,1.17
318,1.2
319,1.2
320,1.16
334,1.12
335,1.13
336,1.1
344,1.07
345,1.13
346,1.11
347,1.0
348,0.98
349,0.97
350,0.96
351,0.96
352,0.95
353,0.96
354,0.96
355,0.96
356,0.96
357,1.05
358,1.02
359,1.05
360,1.04
361,1.08
362,1.08
363,1.1
364,1.13
365,1.12
366,1.16
